credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid,purpose_all_other,purpose_debt_consolidation,purpose_educational,purpose_credit_card,purpose_major_purchase,purpose_home_improvement,purpose_small_business
1,0.0743,155.38,11.4616,3.83,772,2535.00,3660,6.80,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,11.3504,0.31,787,3540.00,216,0.60,0,0,0,0,0,0,0,1,0,0,0
1,0.1122,164.23,11.2898,1.21,672,3990.00,27185,16.10,3,0,1,0,0,0,0,1,0,0,0
1,0.0996,161.25,10.7790,8.03,707,4320.00,28329,48.60,1,0,0,0,0,1,0,0,0,0,0
1,0.0933,159.77,12.1007,11.93,717,4498.96,60568,39.20,1,0,0,0,0,0,0,0,0,1,0
1,0.0807,156.84,12.1007,5.55,742,4019.00,40934,26.30,0,0,0,0,0,0,0,0,0,1,0
1,0.0743,155.38,11.6952,2.29,777,3540.00,8379,16.90,0,0,0,0,0,1,0,0,0,0,0
1,0.0870,94.98,10.1266,14.54,752,2460.00,3660,7.80,1,0,0,0,0,0,0,0,0,0,1
1,0.1028,97.20,12.2061,0.00,677,3779.96,0,0.00,0,1,0,0,0,0,0,0,0,1,0
1,0.1122,164.23,10.3090,18.64,702,5190.00,15840,47.10,0,0,0,0,0,0,0,1,0,0,0
1,0.0838,167.02,11.2118,14.37,797,5610.96,6844,14.40,0,0,0,0,0,0,0,1,0,0,0
1,0.0775,168.60,8.9872,3.00,762,6659.96,1321,16.50,0,0,0,0,0,0,1,0,0,0,0
1,0.0838,160.72,10.3735,14.78,772,4379.00,4737,23.90,0,0,0,0,1,0,0,0,0,0,0
1,0.0901,159.03,11.1982,9.96,722,3089.96,23489,37.60,0,0,0,0,0,0,0,1,0,0,0
1,0.0743,178.69,11.7361,0.27,792,7488.96,2817,10.20,0,0,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,10.7144,1.12,782,5807.00,1783,0.00,1,0,0,0,0,0,0,1,0,0,0
1,0.1028,323.98,10.2174,10.70,712,1379.00,3534,54.40,0,0,0,0,0,0,0,0,0,0,1
1,0.1059,813.65,10.7790,4.05,762,2729.96,2422,23.30,0,0,0,0,0,0,0,0,0,0,1
1,0.0996,112.87,9.5104,16.44,712,1649.96,2864,41.10,1,0,0,0,0,0,1,0,0,0,0
1,0.1596,94.88,10.8628,12.57,627,1409.00,3075,92.30,1,0,0,0,0,1,0,0,0,0,0
1,0.1059,398.69,11.0021,17.12,747,14008.96,17214,8.10,2,1,0,0,0,0,0,0,0,0,1
1,0.1154,39.60,9.9035,2.04,662,1139.00,1153,75.80,2,0,0,0,0,0,0,1,0,0,0
1,0.1343,678.08,11.8845,10.15,682,4209.96,41674,74.10,0,0,0,1,0,0,0,1,0,0,0
1,0.1249,401.37,11.2252,15.00,682,4479.00,43039,93.40,3,0,0,0,0,0,0,1,0,0,0
1,0.0964,205.45,11.0021,7.72,712,2293.96,3362,69.30,0,0,0,0,1,0,0,0,0,0,0
1,0.1186,397.75,11.0821,7.14,682,8730.00,11868,71.90,0,2,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,10.5966,2.55,772,8189.96,2562,14.00,2,0,0,0,1,0,0,0,0,0,0
1,0.1028,113.39,9.9035,1.50,682,1410.00,1882,32.40,0,0,0,0,1,0,0,0,0,0,0
1,0.1186,99.44,10.4955,7.47,667,2550.00,1064,70.90,2,0,1,0,0,1,0,0,0,0,0
1,0.0807,109.79,11.4927,8.52,752,4979.96,6432,6.00,0,1,0,0,0,0,0,1,0,0,0
1,0.1059,32.55,10.4338,14.47,687,1110.00,4485,36.90,1,0,0,1,1,0,0,0,0,0,0
1,0.0996,112.87,11.2645,11.06,702,4979.96,16310,20.50,0,1,0,0,1,0,0,0,0,0,0
1,0.0964,160.51,11.7753,8.55,712,5940.00,20969,40.20,0,0,0,0,0,1,0,0,0,0,0
1,0.1375,340.57,10.4631,17.38,707,2699.96,22213,65.90,0,0,0,0,0,1,0,0,0,0,0
1,0.0775,156.11,12.3239,6.48,752,5339.96,2160,2.30,1,0,0,0,0,0,0,0,0,1,0
1,0.0743,155.38,11.1563,4.56,812,9809.00,813,1.00,0,0,0,0,0,0,0,1,0,0,0
1,0.0807,235.25,11.9184,2.72,757,5202.00,23678,24.40,4,0,0,0,0,0,0,0,0,1,0
1,0.0996,257.99,10.7790,15.13,722,2640.00,11289,47.80,3,0,0,0,0,1,0,0,0,0,0
1,0.1501,225.37,12.2690,6.45,677,6240.00,56411,75.30,0,0,0,1,0,0,0,0,0,0,1
1,0.0964,80.26,11.2252,20.00,772,4920.96,269,3.80,3,0,0,1,0,0,0,0,0,1,0
1,0.1280,84.00,10.3735,20.00,682,5492.00,3408,35.10,1,0,0,1,0,0,0,0,0,1,0
1,0.1122,507.46,10.5966,13.50,712,5368.96,6513,34.30,3,0,1,1,0,1,0,0,0,0,0
1,0.0743,124.31,10.5966,3.45,772,1739.96,330,11.00,0,0,0,0,0,0,1,0,0,0,0
1,0.0870,63.32,11.1563,6.07,712,2550.00,5967,19.80,1,0,0,0,0,0,0,1,0,0,0
1,0.1091,130.79,9.7981,18.00,707,2192.00,5533,79.60,1,0,0,0,1,0,0,0,0,0,0
1,0.0775,93.67,11.7361,2.14,762,8370.00,21050,1.00,0,0,0,0,0,0,0,0,0,1,0
1,0.0775,93.67,10.8198,5.35,762,8370.00,21050,0.70,0,0,0,0,1,0,0,0,0,0,0
1,0.0870,88.65,11.6952,15.00,742,3026.00,8155,14.90,1,0,0,0,1,0,0,0,0,0,0
1,0.0964,128.41,11.5129,15.00,722,3026.00,8155,14.90,1,0,0,0,1,0,0,0,0,0,0
1,0.0870,94.98,11.0349,12.23,737,2729.96,3678,30.70,0,0,0,0,0,0,0,0,0,1,0
1,0.1217,179.80,10.4631,7.10,662,2944.00,2040,36.20,2,0,0,0,0,1,0,0,0,0,0
1,0.1533,444.05,11.0021,19.52,667,2700.96,33074,68.80,2,0,0,0,0,0,0,1,0,0,0
1,0.0775,124.89,11.0317,3.46,747,2519.00,1918,17.10,0,0,0,0,1,0,0,0,0,0,0
1,0.1533,644.30,11.4076,5.24,662,1770.00,22379,62.20,0,0,0,0,0,0,0,1,0,0,0
1,0.0964,642.02,11.4721,2.86,737,2190.00,10296,42.50,0,0,0,1,0,0,0,0,0,0,1
1,0.1154,104.76,9.6158,12.24,672,1289.96,2867,55.10,3,0,0,1,0,0,0,0,0,0,1
1,0.1122,157.66,10.3090,12.36,682,1770.00,12310,86.10,0,0,0,0,0,1,0,0,0,0,0
1,0.0870,383.87,11.9184,4.80,767,13349.96,61921,39.10,0,0,0,0,0,1,0,0,0,0,0
1,0.1122,217.60,11.3851,18.00,702,3725.00,16738,26.10,2,0,0,0,0,0,0,1,0,0,0
1,0.0807,297.99,11.0509,3.49,792,5939.00,40384,9.20,1,0,0,0,1,0,0,0,0,0,0
1,0.0775,156.11,10.7144,5.00,762,2131.00,1359,5.60,2,0,0,0,0,1,0,0,0,0,0
1,0.1154,329.95,12.3239,20.00,727,10292.00,107501,44.80,2,0,0,0,0,1,0,0,0,0,0
1,0.0807,313.67,12.0610,0.72,787,8010.00,3054,5.60,3,0,0,0,1,0,0,0,0,0,0
1,0.0807,297.99,11.4076,2.44,792,8717.96,40384,9.60,0,0,0,0,1,0,0,0,0,0,0
1,0.0933,239.65,11.4404,9.66,792,4529.00,128000,0.00,3,0,0,0,0,0,0,0,0,1,0
1,0.0712,61.87,11.6784,0.43,772,5936.00,4709,18.50,0,0,0,0,0,1,0,0,0,0,0
1,0.1186,94.47,10.7144,2.80,667,5460.00,2850,75.00,0,1,0,0,1,0,0,0,0,0,0
1,0.1501,73.68,11.4721,16.89,702,4080.00,51,0.00,0,0,0,1,0,0,0,0,0,0,1
1,0.0807,313.67,11.9184,5.84,792,5364.96,37152,3.70,0,0,0,0,0,0,0,0,0,1,0
1,0.0933,543.20,11.2252,9.55,762,5699.96,3839,16.60,1,0,0,0,0,1,0,0,0,0,0
1,0.0807,313.67,11.3504,3.11,797,5363.96,37152,3.70,0,0,0,0,0,0,0,0,0,1,0
1,0.1217,266.37,11.1563,10.20,672,3598.96,26283,39.50,0,1,0,1,0,0,0,1,0,0,0
1,0.1028,210.60,10.7144,5.87,692,1741.96,5607,42.20,0,0,0,0,0,1,0,0,0,0,0
1,0.1249,234.15,10.0432,5.01,662,1110.00,1061,81.90,3,0,0,0,1,0,0,0,0,0,0
1,0.1028,323.99,11.6952,14.40,722,4679.96,56740,77.50,1,0,0,0,0,1,0,0,0,0,0
1,0.1059,235.96,10.9508,7.22,712,5519.00,40598,77.30,1,0,0,0,0,0,0,1,0,0,0
1,0.1438,352.22,11.1844,17.83,687,1289.96,3815,6.50,1,0,0,0,0,1,0,0,0,0,0
1,0.0743,117.31,11.6952,0.00,772,3929.96,0,0.00,1,0,0,0,1,0,0,0,0,0,0
1,0.0712,64.96,11.6082,0.22,812,16213.00,50,0.30,0,0,0,0,0,1,0,0,0,0,0
1,0.1565,699.69,11.4295,1.53,667,3603.96,4569,56.40,1,0,0,0,0,0,0,0,0,0,1
1,0.1059,195.27,9.8522,8.15,692,3089.96,8528,86.10,0,0,0,0,0,0,1,0,0,0,0
1,0.1122,295.59,10.3859,22.15,747,2788.96,14345,45.80,0,0,0,0,0,0,0,1,0,0,0
1,0.1122,217.59,10.8198,18.38,707,3359.00,113,2.40,1,0,0,0,0,0,0,0,0,0,1
1,0.1375,263.09,11.0381,9.80,677,3089.96,12231,81.00,3,0,0,1,0,1,0,0,0,0,0
1,0.1467,248.43,10.9508,20.76,667,3750.00,13552,69.10,0,1,0,0,0,1,0,0,0,0,0
1,0.1028,194.40,11.3771,10.60,692,2489.96,16813,63.90,0,0,0,0,0,0,0,1,0,0,0
1,0.1249,301.04,10.5713,5.08,667,3690.00,26233,62.90,3,0,1,1,0,1,0,0,0,0,0
1,0.0743,163.92,11.3504,2.64,782,9210.00,5760,16.00,0,0,0,0,1,0,0,0,0,0,0
1,0.1028,150.66,10.7277,3.26,687,6509.96,105,35.00,1,1,0,1,1,0,0,0,0,0,0
1,0.1122,217.59,10.9526,13.77,682,2160.00,11490,95.70,0,0,0,0,0,1,0,0,0,0,0
1,0.1312,85.23,10.5966,20.67,692,5250.00,17641,30.50,3,1,0,0,0,0,0,0,0,1,0
1,0.1122,328.43,10.3090,20.40,742,3270.00,0,0.00,3,0,0,0,1,0,0,0,0,0,0
1,0.0807,165.47,10.9151,12.00,797,8790.00,12430,19.20,1,0,0,0,1,0,0,0,0,0,0
1,0.1091,140.60,10.4913,9.87,707,1560.00,12323,44.00,0,0,0,0,0,1,0,0,0,0,0
1,0.1028,98.01,11.4076,9.13,697,3300.00,38624,97.80,0,0,0,0,1,0,0,0,0,0,0
1,0.1217,166.48,9.2103,0.00,662,2250.00,875,54.70,2,1,0,1,0,0,0,0,0,0,1
1,0.1249,284.32,11.3504,6.38,667,7229.96,1196,12.00,3,4,0,0,0,0,0,0,0,0,1
1,0.1438,194.15,13.0815,2.40,697,2759.96,26628,60.40,3,1,0,0,0,0,0,0,0,0,1
1,0.1028,138.51,10.3417,24.81,767,5789.96,6752,24.60,2,0,0,0,1,0,0,0,0,0,0
1,0.1249,70.25,9.4335,14.40,662,1469.00,458,91.60,1,0,0,1,0,1,0,0,0,0,0
1,0.0838,252.10,11.5617,9.71,752,3508.96,16786,44.70,0,0,0,0,0,0,0,1,0,0,0
1,0.0901,263.19,11.6952,12.16,742,9719.96,7336,29.90,0,0,0,0,1,0,0,0,0,0,0
1,0.0933,104.65,11.0349,3.83,702,3690.00,7089,41.90,1,0,0,0,1,0,0,0,0,0,0
1,0.0807,172.53,10.8967,6.29,742,5100.00,18388,68.90,0,0,0,0,0,1,0,0,0,0,0
1,0.0996,38.70,10.3735,1.13,677,1920.00,613,76.60,2,0,0,0,0,0,0,1,0,0,0
1,0.1249,100.35,10.2792,12.77,662,1110.00,566,51.50,3,1,0,1,0,0,1,0,0,0,0
1,0.1280,335.98,10.5023,18.92,682,2219.00,9166,50.40,1,0,0,0,0,1,0,0,0,0,0
1,0.1091,163.49,10.5713,11.78,707,4889.00,5406,33.40,0,0,1,1,1,0,0,0,0,0,0
1,0.0996,32.25,10.4631,5.83,687,2158.96,1188,3.00,2,0,0,1,1,0,0,0,0,0,0
1,0.0996,96.75,9.7981,15.40,707,11248.96,12003,40.40,1,0,0,0,0,0,1,0,0,0,0
1,0.1059,72.42,11.0021,8.14,707,4800.00,20511,62.00,1,0,0,1,1,0,0,0,0,0,0
1,0.0964,90.68,11.1563,18.00,732,3691.00,55720,10.00,2,0,0,0,0,0,0,0,0,0,1
1,0.0807,259.58,10.7996,9.89,772,9870.00,7744,17.10,0,0,0,0,1,0,0,0,0,0,0
1,0.0964,169.32,11.1563,17.57,737,5429.96,51761,38.00,1,0,0,0,1,0,0,0,0,0,0
1,0.1154,205.40,10.7144,17.76,717,1500.00,579,23.20,0,0,0,0,0,0,0,1,0,0,0
1,0.1312,162.01,11.3504,16.87,707,9059.96,34776,54.30,0,0,0,1,0,1,0,0,0,0,0
1,0.1028,226.80,10.9223,10.05,692,1890.00,8047,33.80,0,0,0,0,0,1,0,0,0,0,0
1,0.1059,162.73,9.6158,24.40,737,3209.96,0,0.00,3,0,0,0,1,0,0,0,0,0,0
1,0.1154,158.38,10.1266,18.19,672,2586.00,409,81.80,0,1,0,0,0,1,0,0,0,0,0
1,0.0901,795.11,10.9508,8.93,822,9696.96,185,0.50,0,0,0,0,0,0,0,0,0,0,1
1,0.0996,158.83,11.3386,4.84,727,6330.00,48251,50.10,2,0,0,0,0,1,0,0,0,0,0
1,0.1028,97.20,10.5453,19.93,687,2580.00,772,96.50,0,0,0,0,1,0,0,0,0,0,0
1,0.1154,263.97,10.8198,8.04,672,3089.00,1019,4.50,1,1,0,0,0,1,0,0,0,0,0
1,0.1091,404.62,10.7518,16.39,692,5640.00,8332,39.90,2,0,0,0,0,0,0,0,0,0,1
1,0.0775,307.53,11.1563,9.09,797,6089.96,1790,4.50,1,0,0,0,1,0,0,0,0,0,0
1,0.1280,839.95,11.2252,24.85,722,6330.00,62739,74.70,3,0,0,1,0,1,0,0,0,0,0
1,0.1059,269.31,11.5991,24.01,767,4665.96,29901,71.20,2,0,0,1,1,0,0,0,0,0,0
1,0.1186,265.18,10.8590,11.31,667,1560.00,5867,74.30,1,0,0,0,0,1,0,0,0,0,0
1,0.0964,802.47,11.2645,0.80,732,2129.96,10605,22.10,1,0,0,0,0,0,0,0,0,1,0
1,0.1091,505.16,11.6952,16.97,697,9659.00,57196,44.50,3,0,0,1,0,1,0,0,0,0,0
1,0.0901,318.05,12.5245,2.97,712,4919.00,481,80.20,2,0,0,1,0,0,0,0,0,1,0
1,0.0838,315.12,10.3090,4.20,737,1560.00,2282,19.00,1,0,0,0,0,0,1,0,0,0,0
1,0.1091,130.79,9.5750,8.92,672,1140.00,3614,61.30,1,0,0,0,1,0,0,0,0,0,0
1,0.1059,227.82,11.0588,8.50,682,6839.96,14930,79.00,1,0,1,0,0,1,0,0,0,0,0
1,0.0996,643.36,11.6613,13.07,727,10529.96,33989,82.90,0,0,0,0,0,0,0,1,0,0,0
1,0.1470,51.78,10.1266,3.84,632,1530.00,1238,61.90,1,1,0,0,1,0,0,0,0,0,0
1,0.0901,572.48,10.6213,15.37,747,7500.00,4746,18.50,2,0,0,0,0,0,1,0,0,0,0
1,0.0775,149.87,9.9523,6.34,752,3029.00,3470,25.50,0,0,0,0,1,0,0,0,0,0,0
1,0.0996,96.75,11.0349,11.98,682,1799.00,12640,83.20,0,0,0,0,1,0,0,0,0,0,0
1,0.0712,92.80,11.4404,0.00,812,8250.00,368,1.20,0,0,0,0,0,0,0,0,0,1,0
1,0.1091,192.09,11.0974,19.82,677,4290.00,30597,89.50,1,1,0,0,0,0,0,1,0,0,0
1,0.1154,593.92,10.2036,10.80,682,5050.00,8537,75.50,0,0,0,0,1,0,0,0,0,0,0
1,0.1091,392.36,10.4631,15.74,692,1500.04,15649,54.50,2,0,0,0,0,1,0,0,0,0,0
1,0.0775,156.11,10.8590,9.55,767,12960.04,4067,7.30,0,0,0,0,0,0,1,0,0,0,0
1,0.1028,155.52,10.4631,7.51,687,2795.00,5836,68.70,0,0,1,0,0,1,0,0,0,0,0
1,0.1028,485.99,11.3851,11.95,702,5070.00,24615,94.70,0,0,0,0,0,0,0,1,0,0,0
1,0.1028,116.64,10.3090,7.88,687,5130.04,7600,71.70,0,0,1,0,1,0,0,0,0,0,0
1,0.1122,223.34,10.8396,18.68,682,1889.04,9495,87.90,2,0,0,1,0,1,0,0,0,0,0
1,0.0775,149.87,9.9035,10.26,757,6330.04,4921,30.40,0,0,0,0,0,0,0,1,0,0,0
1,0.1154,211.17,11.4616,1.83,667,3421.04,11200,23.20,1,0,0,0,0,0,1,0,0,0,0
1,0.0743,186.45,11.1373,6.11,777,7440.04,2444,5.60,3,0,0,0,0,1,0,0,0,0,0
1,0.0933,790.86,11.0021,0.82,767,2100.00,916,6.80,0,0,0,0,0,1,0,0,0,0,0
1,0.0901,795.11,13.3310,3.83,782,3660.00,148829,6.60,5,0,0,1,0,0,0,0,0,0,1
1,0.0870,126.65,10.6919,18.71,747,3630.00,3209,12.60,0,0,0,0,0,0,0,1,0,0,0
1,0.1091,294.27,11.2898,17.17,677,3840.04,7570,82.30,0,0,0,0,0,0,0,1,0,0,0
1,0.1091,404.62,11.2898,9.23,687,2519.00,13126,96.50,0,0,1,0,0,1,0,0,0,0,0
1,0.1186,397.77,11.9184,20.48,687,4452.04,66654,51.60,1,0,0,0,0,1,0,0,0,0,0
1,0.0743,178.68,11.4616,1.20,812,16259.04,50,0.30,0,0,0,0,0,1,0,0,0,0,0
1,0.1028,29.16,9.3927,16.70,687,2069.00,3084,65.60,3,0,0,1,0,0,1,0,0,0,0
1,0.0996,417.62,11.4295,6.48,712,5610.04,2598,23.80,1,0,0,0,0,0,0,0,0,0,1
1,0.1059,130.18,11.0349,17.81,682,6330.04,18168,68.50,2,0,0,0,0,0,0,1,0,0,0
1,0.1122,98.53,10.4013,22.79,682,9389.00,24218,85.30,2,0,0,0,1,0,0,0,0,0,0
1,0.0807,15.69,9.7981,4.27,722,1470.00,0,0.00,0,0,0,0,1,0,0,0,0,0,0
1,0.1091,523.14,12.2061,10.70,697,7320.00,72303,73.70,1,0,0,0,0,0,0,1,0,0,0
1,0.0870,557.23,11.9382,0.12,757,1128.04,1032,5.00,0,0,0,0,1,0,0,0,0,0,0
1,0.1122,315.30,10.6573,14.60,677,3630.00,133,4.20,1,0,0,0,1,0,0,0,0,0,0
1,0.1154,527.93,10.7010,12.16,682,2130.00,34023,57.70,1,2,0,1,0,1,0,0,0,0,0
1,0.0743,93.23,11.1844,11.18,757,4500.04,12430,29.60,5,0,0,0,0,0,0,0,1,0,0
1,0.0775,202.94,10.7790,13.53,787,10260.04,10742,8.90,3,0,0,0,0,1,0,0,0,0,0
1,0.1186,165.74,10.5966,7.02,667,2789.04,2197,75.80,0,2,0,1,0,1,0,0,0,0,0
1,0.1028,158.76,10.6919,15.30,692,4410.00,88,23.80,1,3,0,1,1,0,0,0,0,0,0
1,0.1028,485.99,10.8198,11.88,702,7020.04,13867,33.70,0,0,0,0,0,1,0,0,0,0,0
1,0.0996,322.49,11.1913,10.28,702,4920.04,3943,98.60,3,0,0,1,1,0,0,0,0,0,0
1,0.0870,189.97,10.0858,19.45,757,3870.04,5405,40.00,2,0,0,0,0,1,0,0,0,0,0
1,0.1217,376.24,10.4223,23.96,712,3030.04,12102,49.00,1,0,0,0,0,1,0,0,0,0,0
1,0.1217,599.33,11.6105,18.30,682,4379.00,18076,81.40,1,0,0,0,0,1,0,0,0,0,0
1,0.1217,132.35,10.2036,23.20,702,5279.04,4504,39.20,1,0,0,1,0,1,0,0,0,0,0
1,0.1186,828.69,10.8590,9.74,712,4859.04,25852,60.50,0,0,0,0,0,0,0,0,0,0,1
1,0.1091,604.88,10.8590,17.56,707,8061.00,32438,43.00,0,1,0,0,0,0,0,1,0,0,0
1,0.0870,538.23,10.9313,11.51,747,6240.04,20380,48.10,2,0,0,0,0,1,0,0,0,0,0
1,0.0933,172.55,10.6454,16.09,707,2220.00,38054,61.20,0,0,0,0,0,0,0,1,0,0,0
1,0.1091,604.88,10.4913,4.67,697,1410.00,25,0.20,2,0,0,0,0,0,0,0,0,0,1
1,0.0996,290.24,10.5453,3.38,697,1782.00,3305,55.10,2,0,0,0,1,0,0,0,0,0,0
1,0.1186,530.36,11.3667,15.10,682,3900.00,348,4.80,0,0,0,1,0,0,0,0,1,0,0
1,0.0870,158.31,10.0858,6.15,722,1350.00,3015,25.30,0,0,0,0,1,0,0,0,0,0,0
1,0.1059,390.54,10.3090,19.84,702,2042.04,7336,71.90,1,0,0,0,0,1,0,0,0,0,0
1,0.1249,301.04,10.8590,4.98,662,6630.04,8644,72.60,1,0,0,0,0,0,0,1,0,0,0
1,0.1154,659.91,11.4721,17.81,707,3629.00,93,0.00,2,0,0,1,0,0,0,0,0,0,1
1,0.0743,217.52,10.6690,1.65,777,2879.00,2698,9.50,0,0,0,0,0,0,0,0,0,0,1
1,0.1028,388.79,11.4825,5.58,697,4800.04,19009,30.00,0,0,0,0,0,0,0,0,0,1,0
1,0.0870,158.31,10.7790,0.38,717,12930.04,498,7.30,2,1,0,0,0,0,0,0,1,0,0
1,0.1217,319.64,11.0021,19.28,672,4740.00,10358,91.70,2,0,1,1,0,1,0,0,0,0,0
1,0.1028,103.68,11.2252,9.70,682,12780.00,2105,45.30,0,3,0,0,0,0,0,1,0,0,0
1,0.0964,154.08,11.0021,12.94,697,2969.04,2822,9.90,3,0,0,0,0,0,0,0,0,1,0
1,0.1059,650.90,11.5899,11.96,707,5070.00,21004,97.70,0,0,0,0,0,1,0,0,0,0,0
1,0.1375,81.74,10.7579,24.08,667,2820.00,11675,75.80,1,0,0,0,1,0,0,0,0,0,0
1,0.0901,238.54,9.8751,10.37,712,1230.04,3933,43.70,0,0,0,0,1,0,0,0,0,0,0
1,0.1280,335.98,10.9819,7.51,662,4109.04,7251,80.60,3,0,2,0,0,1,0,0,0,0,0
1,0.1217,93.23,10.7144,19.19,692,4440.04,88,44.00,1,3,0,1,1,0,0,0,0,0,0
1,0.0933,95.87,10.5078,2.69,697,4680.00,1492,33.20,2,0,0,0,1,0,0,0,0,0,0
1,0.0996,95.94,10.1266,14.16,692,1918.04,7121,33.70,0,0,0,0,0,1,0,0,0,0,0
1,0.1280,554.37,11.0349,19.22,677,3060.04,17641,69.50,2,0,0,0,0,1,0,0,0,0,0
1,0.1438,859.07,11.2898,20.79,682,3059.04,30946,61.50,3,0,0,1,0,0,0,0,0,0,1
1,0.0838,472.68,11.2516,7.96,772,5909.04,0,0.00,0,0,0,0,0,0,0,0,1,0,0
1,0.1091,586.90,11.2252,10.34,697,2669.04,23391,90.70,1,0,0,0,0,0,0,1,0,0,0
1,0.0964,224.69,9.8782,21.23,772,5881.00,16324,48.00,0,0,0,0,0,0,0,0,1,0,0
1,0.1280,483.81,10.4946,8.47,662,2670.04,7104,93.50,2,0,0,1,0,1,0,0,0,0,0
1,0.1217,399.55,10.0858,14.50,672,1950.04,9273,43.90,0,0,0,0,0,1,0,0,0,0,0
1,0.1186,232.04,10.8277,17.02,672,4380.00,6718,94.60,3,0,0,0,0,1,0,0,0,0,0
1,0.0964,802.47,11.2252,17.06,767,5691.04,12017,12.10,4,0,0,1,0,0,0,0,0,0,1
